"REF_DATE","GEO","DGUID","Statistic","Household expenditures, summary-level categories","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2016A000011124","Average expenditure per household","Public transportation","Dollars","81","units","0","v54325532","1.1.25","1126","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Public transportation","Dollars","81","units","0","v54325532","1.1.25","1212","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Public transportation","Dollars","81","units","0","v54325532","1.1.25","1175","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Public transportation","Dollars","81","units","0","v54325532","1.1.25","1224","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Public transportation","Dollars","81","units","0","v54325532","1.1.25","1249","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Public transportation","Dollars","81","units","0","v54325532","1.1.25","1285","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Public transportation","Dollars","81","units","0","v54325532","1.1.25","1479","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","Health care","Dollars","81","units","0","v54325533","1.1.26","2237","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Health care","Dollars","81","units","0","v54325533","1.1.26","2210","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Health care","Dollars","81","units","0","v54325533","1.1.26","2303","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Health care","Dollars","81","units","0","v54325533","1.1.26","2475","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Health care","Dollars","81","units","0","v54325533","1.1.26","2251","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Health care","Dollars","81","units","0","v54325533","1.1.26","2361","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Health care","Dollars","81","units","0","v54325533","1.1.26","2574","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Health care","Dollars","81","units","0","v54325533","1.1.26","2564","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Health care","Dollars","81","units","0","v54325533","1.1.26","2780","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","Direct health care costs to household","Dollars","81","units","0","v54325534","1.1.27","1655","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Direct health care costs to household","Dollars","81","units","0","v54325534","1.1.27","1580","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Direct health care costs to household","Dollars","81","units","0","v54325534","1.1.27","1594","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Direct health care costs to household","Dollars","81","units","0","v54325534","1.1.27","1730","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Direct health care costs to household","Dollars","81","units","0","v54325534","1.1.27","1558","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Direct health care costs to household","Dollars","81","units","0","v54325534","1.1.27","1643","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Direct health care costs to household","Dollars","81","units","0","v54325534","1.1.27","1824","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Direct health care costs to household","Dollars","81","units","0","v54325534","1.1.27","1799","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Direct health care costs to household","Dollars","81","units","0","v54325534","1.1.27","1918","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","Personal care","Dollars","81","units","0","v54325536","1.1.29","949","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Personal care","Dollars","81","units","0","v54325536","1.1.29","1067","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Personal care","Dollars","81","units","0","v54325536","1.1.29","1194","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Personal care","Dollars","81","units","0","v54325536","1.1.29","1226","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Personal care","Dollars","81","units","0","v54325536","1.1.29","1205","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Personal care","Dollars","81","units","0","v54325536","1.1.29","1316","","","","0"
